Numéro de dossier,Année budgétaire,Collectivité,Nom Bénéficiaire,Numéro Siret,Objet du dossier,Montant voté,Direction,Nature de la subvention,Secteurs d'activités définies par l'association
2017_03280,2017,Ville de Paris,,,fonctionnement,1000,DDCT,Fonctionnement,
2014_00904,2014,Ville de Paris,,,fonctionnement,1100,DAC,Fonctionnement,
2016_07544,2016,Ville de Paris,,,fonctionnement,1000,DDCT,Fonctionnement,
2013_04801,2013,Ville de Paris,,,FONCTIONNEMENT,1100,DAC,Fonctionnement,
2016_06076,2016,Département de Paris,,,création d'un FAM pour personnes vieillissantes en situation de handicap mental,150000,DASES,Investissement,
2014_01467,2014,Ville de Paris,,,fonctionnement,1000,DJS,Fonctionnement,
2016_08951,2017,Ville de Paris,,,fonctionnement,600,DJS,Fonctionnement,
2015_00246,2015,Ville de Paris,,,Fonctionnement,0,DAC,Non précisée,
2017_08440,2017,Ville de Paris,,,Fonds du maire du 16ème arrondissement,5000,DDCT,Fonctionnement,
2016_02024,2016,Département de Paris,,,équipement et mobilier pour l'ouverture d'un foyer d'hébergement,60000,DASES,Investissement,
2013_05832,2013,Ville de Paris,,,Fonctionnement,2500,DAC,Fonctionnement,
2015_00257,2015,Ville de Paris,,,fonctionnement,1100,DAC,Fonctionnement,
2018_00180,2018,Ville de Paris,,,Demande de subvention du Comité du 8e arrdt de la FNACA de Paris,1000,DAC,Fonctionnement,
2017_07909,2017,Ville de Paris,,,Financement matériel d'enregistrement sur Fonds Maire 14ième,500,DDCT,Fonctionnement,
2017_00219,2017,Ville de Paris,,,fonctionnement,1100,DAC,Fonctionnement,
2016_00081,2016,Ville de Paris,,,fonctionnement,1100,DAC,Fonctionnement,
2015_00164,2015,Ville de Paris,,,fonctionnement,1000,DJS,Fonctionnement,
2015_08118,2015,Ville de Paris,,,Fonctionnement,1500,DDCT,Fonctionnement,
2018_00423,2018,Ville de Paris,,,Pratique sportive pour les lycéens et lycéennes du Lycée Arago,800,DJS,Fonctionnement,
2015_08150,2016,Ville de Paris,,,FONDS DU MAIRE DU 16ème,6000,DDCT,Fonctionnement,
2013_00877,2013,Ville de Paris,,,fonctionnement,1000,DJS,Fonctionnement,
2013_04907,2014,Ville de Paris,AMICALE DES LOCATAIRES DE LA RESIDENCE RAYMOND-LOSSERAND/VERCINGETORIX,,Subvention au titre des fonds du Maire (14e). Montant 450 €,0,DUCT,Non précisée,Défense des droits et des intérêts;Mémoire;Vie et animation locale
2013_00223,2013,Ville de Paris,M.I.F.A MOUVEMENT D'INITIATIVES FESTIVES D'ANIMATION,,Demande de subvention 2013 au titre de la jeunesse (Ville de Paris) - Association Mifa,0,DJS,Non précisée,Culture & Arts;Précarité & Exclusion;Vie et animation locale
2014_05837,2014,Département de Paris,"ARIF PARCOURS, ASSOCIATION POUR LE RECRUTEMENT, L'INSERTION ET LA FORMATION PROFESSIONNELLE",,PLVP pour les habitants des quartiers politique de la ville,0,DAE,Non précisée,Aides aux associations;Education & formation
2013_07055,2013,Ville de Paris,ASSOCIATION POUR LA PROMOTION DES AUTEURS ET DE LA CULTURE,,"ARE - Ateliers ""un auteur à l'école""",0,DASCO,Non précisée,Culture & Arts;Education & formation
2018_07426,2018,Ville de Paris,LA COMPAGNIE ABRAXAS,44336119100010,ILIADE au Théâtre Le Lucernaire,0,DAC,Non précisée,Culture & Arts
2019_05381,2019,Ville de Paris,LA COMPAGNIE ABRAXAS,,VIENS AVEC théâtre en appartement participatif et citoyen dans le quartier Bel Air Nord,0,DAC,Non précisée,Culture & Arts
